"Current_Player","Historical_Player","Historical_Year","Distance","Similarity_Score"
"Cedi Osman","Anthony Tolliver",2017,0.424317192349225,94.64
"Jordan Hawkins","Langston Galloway",2017,0.425388681480525,94.62
"Brice Sensabaugh","Al Harrington",2014,0.425565165645185,94.56
"Maxi Kleber","Jamario Moon",2011,0.425698385269826,94.6
"John Konchar","Matt Barnes",2008,0.426105784419958,94.61
"Malaki Branham","E'Twaun Moore",2013,0.427633560051441,94.6
"Jaylen Nowell","John Jenkins",2016,0.427677698999267,94.53
"Kelly Oubre Jr.","Tim Thomas",2002,0.428131601639673,94.62
"Garrett Temple","Emanual Davis",2003,0.429393614187611,94.51
"Cody Zeller","Sidney Green",1993,0.430959430978817,94.51
"Luke Kennard","Steve Blake",2010,0.431001591573207,94.59
"Sasha Vezenkov","Cartier Martin",2014,0.431351709544625,94.58
"Bennedict Mathurin","MarShon Brooks",2012,0.432514534319275,94.54
"Jae Crowder","Cartier Martin",2014,0.434756803633542,94.45
"Brandon Boston Jr.","Earl Clark",2014,0.435751840874488,94.38
"Micah Potter","Josh Harrellson",2014,0.435772931916226,94.45
"Ziaire Williams","Linas Kleiza",2012,0.43586995896624,94.45
"Eugene Omoruyi","Zoran Planinic",2005,0.439967517772878,94.44
"DeAndre Jordan","Udonis Haslem",2014,0.440811992818933,94.49
"De'Anthony Melton","Carlos Delfino",2011,0.440948193814337,94.49
"Patrick Baldwin Jr.","Mickael Pietrus",2011,0.441521612107214,94.3
"Olivier-Maxence Prosper","Will Barton",2014,0.44209244374005,94.37
"Jaden Hardy","Jordan Crawford",2014,0.44340198736815,94.39
"Markelle Fultz","Randolph Keys",1990,0.444073966577116,94.36
"Bradley Beal","Goran Dragic",2015,0.444822193795502,94.51
"Leaky Black","Treveon Graham",2017,0.446055192487957,94.32
"Yuta Watanabe","Earl Clark",2014,0.446701929812444,94.25
"Luka Šamanić","David Andersen",2011,0.447172593326255,94.29
"Vince Williams Jr.","Anthony Tolliver",2010,0.447373809346878,94.37
"Nick Smith Jr.","Adam Morrison",2009,0.447749093203285,94.28
"Seth Curry","Jerry Stackhouse",2012,0.447759947312365,94.27
"Richaun Holmes","Major Jones",1984,0.448142978871265,94.32
"Jules Bernard","Reggie Williams",2013,0.44878154653071,94.32
"Rui Hachimura","Chandler Parsons",2016,0.449064779399001,94.41
"Ish Smith","Brad Davis",1992,0.449462118304422,94.27
"Amir Coffey","Tim Hardaway",2016,0.450233446651877,94.28
"Isaiah Joe","Kyle Korver",2012,0.45042466410289,94.45
"Troy Brown Jr.","Jawad Williams",2011,0.451293087376321,94.23
"Isaiah Livers","Mickael Pietrus",2013,0.452091648728256,94.22
"Cody Martin","Norris Cole",2015,0.452490596479282,94.17
"Bilal Coulibaly","Brandon Rush",2009,0.452753901706264,94.16
"Bones Hyland","Jordan Farmar",2015,0.45313217395164,94.18
"Jalen McDaniels","Matt Carroll",2009,0.454210797001751,94.2
"Dillon Brooks","Brandon Rush",2011,0.454555714655685,94.23
"Jordan Nwora","Malachi Richardson",2017,0.455383932361223,94.23
"Cory Joseph","Chris Duhon",2013,0.455580096406383,94.16
"Lamar Stevens","Adreian Payne",2017,0.455583894862057,94.2
"Quentin Grimes","Mickael Pietrus",2011,0.456195921675425,94.21
"Brandon Miller","Bradley Beal",2016,0.456455349638939,94.27
"Paul Reed","Kosta Koufos",2016,0.456596151010413,94.35
"Kevon Looney","Kent Benson",1985,0.456671727012436,94.34
"Jahmi'us Ramsey","Reggie Williams",1997,0.456762006267193,94.15
"Sandro Mamukelashvili","Spencer Hawes",2017,0.456950898113794,94.28
"Larry Nance Jr.","Trevor Booker",2016,0.457628618806922,94.35
"Chris Boucher","Spencer Hawes",2017,0.458116882350369,94.28
"Kris Dunn","Emanual Davis",2001,0.45937376609182,94.19
"Svi Mykhailiuk","Mickael Pietrus",2012,0.459433110553647,94.17
"Saben Lee","Anthony Parker",2000,0.459755130680693,94.17
"Jake LaRavia","Sam Mack",1996,0.45985894439463,94.17
"Taylor Hendricks","Jamario Moon",2009,0.459932000995227,94.19
"Duncan Robinson","Patrick Beverley",2015,0.461367908968557,94.26
"Ben Sheppard","Chase Budinger",2014,0.461521896834857,94.11
"Andrew Nembhard","Mike Iuzzolino",1993,0.462263317517315,94.15
"Jarred Vanderbilt","Kedrick Brown",2004,0.462934054824995,94.14
"Jontay Porter","Thabo Sefolosha",2009,0.46307499366242,94.19
"Stanley Umude","Quincy Acy",2017,0.464042543952209,94.11
"Dante Exum","Leandro Barbosa",2005,0.46449962585968,94.19
"Isaiah Stewart","Anthony Tolliver",2010,0.464734551235942,94.12
"Malcolm Brogdon","Will Barton",2017,0.465178916778515,94.29
"Alec Burks","Lamond Murray",2004,0.465256587031253,94.09
"Chuma Okeke","Reggie Bullock",2015,0.465392422973205,93.98
"Trey Lyles","Jonas Jerebko",2017,0.465675793798691,94.16
"Peyton Watson","Brad Lohaus",1993,0.467414326004252,94.05
"Jaylin Williams","Austin Daye",2013,0.467585347839807,94.18
"Sidy Cissoko","Troy Murphy",2011,0.469005722023686,94.05
"Bobby Portis","Rodney Rogers",2002,0.46929752239921,94.22
"Julian Phillips","Axel Toupane",2016,0.469604162314258,93.91
"Lindy Waters III","Richie Frahm",2004,0.46985328471103,94.19
"Zavier Simpson","Smush Parker",2008,0.469966167922312,93.93
"Kyle Lowry","Steve Blake",2013,0.472204238746769,94.06
"Christian Wood","Spencer Hawes",2016,0.473358115556637,93.97
"Jarace Walker","Norman Powell",2016,0.47363247933611,94.02
"Jalen Suggs","Francisco Garcia",2008,0.473969109077622,94.14
"Garrison Mathews","Henry Walker",2011,0.473989054502089,93.94
"Dennis Schröder","Mike Bibby",2008,0.474067065703257,94.04
"Aaron Wiggins","Mike Scott",2016,0.474712603514098,94.11
"Ashton Hagans","Goran Dragic",2009,0.475647939122744,93.88
"Justin Minaya","Orlando Johnson",2014,0.475677378411414,93.85
"Keldon Johnson","Frank Kaminsky",2017,0.476064101609556,94.04
"D.J. Carton","Malachi Richardson",2017,0.478064054285816,93.86
"JT Thor","Perry Jones",2014,0.478169161867125,93.87
"Precious Achiuwa","Trevor Booker",2015,0.478527894705256,93.96
"Talen Horton-Tucker","Jordan Crawford",2013,0.479068806412552,93.93
"Zach Collins","Kelly Olynyk",2014,0.479128466593284,93.94
"Taurean Prince","Joe Harris",2017,0.479173327165077,93.89
"Danuel House Jr.","Jose Calderon",2017,0.480190628349994,93.84
"Mo Bamba","Kyle O'Quinn",2015,0.480199915937236,93.99
"Dean Wade","Anthony Tolliver",2017,0.481146203063068,93.98
"Damian Jones","Maceo Baston",2008,0.481775528734185,93.96
"Malachi Flynn","Richie Frahm",2006,0.482312184020703,93.87
"Jared Butler","Tyler Johnson",2016,0.484761133352684,93.86
"Matt Ryan","Vladimir Radmanovic",2009,0.484990036469648,93.85
"Julian Strawther","Jordan Farmar",2007,0.485226121145072,93.8
"Bismack Biyombo","Antonio Harvey",2000,0.485817265567635,93.69
"Vasilije Micić","Sarunas Jasikevicius",2007,0.485817402622213,93.74
"Gordon Hayward","Dale Ellis",1991,0.487390598734961,93.86
"Cason Wallace","Jared Dudley",2015,0.487566084577707,93.89
"Colin Castleton","David Wood",1996,0.487981568220815,93.77
"Kyle Anderson","Delonte West",2010,0.488517754173979,93.88
"Dalen Terry","Julian Wright",2011,0.490406348851466,93.75
"Thomas Bryant","Charles Shackleford",1995,0.491723125047287,94
"Otto Porter Jr.","James Jones",2009,0.491760777036335,93.68
"Collin Gillespie","Shelvin Mack",2013,0.491761329575461,93.71
"Kessler Edwards","Glenn Robinson",2016,0.492488611185433,93.77
"Russell Westbrook","Toni Kukoc",2004,0.492605828311042,93.85
"Mason Plumlee","Ed Pinckney",1996,0.492709336275717,93.89
"Royce O'Neale","Anthony Tolliver",2017,0.493747123570241,93.87
"Luguentz Dort","Terrence Ross",2014,0.493854355257259,93.79
"Spencer Dinwiddie","Chucky Atkins",2006,0.494052597955841,93.64
"T.J. Warren","Briante Weber",2017,0.494880916796326,93.65
"Gradey Dick","Ben McLemore",2017,0.495587392969139,93.64
"Nickeil Alexander-Walker","Luther Head",2006,0.496328370627362,93.79
"Henri Drell","Xavier Munford",2016,0.496678708086606,93.55
"Jevon Carter","Matt Bullard",1994,0.497392394789469,93.6
"Omer Yurtseven","Nazr Mohammed",2004,0.497486453829728,93.68
"Tristan Thompson","Alan Henderson",2005,0.498275555518937,93.74
"Buddy Hield","Walt Williams",2002,0.498326354177778,93.74
"Keon Johnson","Archie Goodwin",2015,0.499294384678952,93.62
"Jeff Green","Chris Mills",2002,0.500195631401018,93.64
"Terry Taylor","Maurice Ndour",2017,0.501403972273557,93.57
"Joe Ingles","Joe Ingles",2015,0.501754964029948,93.64
"Brandon Williams","Rodney Buford",2000,0.501898621381353,93.6
"Naz Reid","Matt Barnes",2007,0.502740348959671,93.82
"Amari Bailey","Kiwane Garris",1998,0.503840433829377,93.6
"Caris LeVert","Derek Fisher",2005,0.504126345103923,93.7
